id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek,rank
b7038c6e-3583-42a8-ac8c-8016b599bb65,Tyler,Allgeier,163,86,RB50,RB,Atlanta Falcons,,,163
8a722d02-43ee-487a-ac0d-398309b6094f,Dontayvion,Wicks,163,91,WR69,WR,Green Bay Packers,,,163
5ca0718a-6bf9-4ccf-a7fc-bf3a77b03dbe,Pat,Freiermuth,163.8,103,TE20,TE,Pittsburgh Steelers,,,163.8
9e2e1753-a526-4ccd-92d4-8e44fffb13b5,Cole,Kmet,166.4,87,TE21,TE,Chicago Bears,,,166.4
bed1c850-1425-4850-b674-f9e2a5dd9f1b,Jordan,Whittington,167,78,WR70,WR,Los Angeles Rams,,,167
fd917e13-1595-4d7b-996f-0130eb43edfe,Xavier,Restrepo,167.1,110,WR71,WR,,,,167.1
5be65353-a62f-458e-885c-1e3a6a58658c,Alec,Pierce,167.6,88,WR72,WR,Indianapolis Colts,,,167.6
26bf4960-3b8f-498a-8572-4173ef92bd87,Sam,Darnold,168.7,215,QB26,QB,Minnesota Vikings,,,168.7
8196d48d-53ee-47d5-9fb9-85aa4c9e4979,Isaac,Guerendo,169.1,83,RB51,RB,San Francisco 49ers,,,169.1
188b3526-b49c-476b-9588-2fdfd84d4a99,Adam,Thielen,170.9,90,WR73,WR,Carolina Panthers,,,170.9
021bb0dd-f152-48d4-a4fa-088024c7105a,Geno,Smith,171.3,163,QB27,QB,Seattle Seahawks,,,171.3
4246524c-c02e-4f48-99c7-81840b96aa20,Hunter,Henry,173.2,88,TE22,TE,New England Patriots,,,173.2
06040657-3dd7-4fe8-a3fe-0d63ad875c7b,Braelon,Allen,174.1,65,RB52,RB,NY Jets,,,174.1
ba55deb5-ec96-4411-9027-edcd1dfdd01e,Shedeur,Sanders,175.5,145,QB28,QB,,,,175.5
8ab364d5-d787-4f0e-b7bd-26a6708cfc1a,Elic,Ayomanor,177.5,102,WR74,WR,,,,177.5
5ac84884-2d55-4235-bcc6-bb66f80fb71f,Matthew,Stafford,178.7,176,QB29,QB,Los Angeles Rams,,,178.7
ffa3ca11-0744-4d66-a7ac-c46c59be8ca5,Austin,Ekeler,179,51,RB53,RB,Washington Commanders,,,179
f58c35da-7351-44e8-87c7-e235ac724072,Andrei,Iosivas,179.8,86,WR75,WR,Cincinnati Bengals,,,179.8
aa4c3f92-5076-4c51-aa3c-962efecbb462,Jalen,Royals,180.5,101,WR76,WR,,,,180.5
d3f44e88-110a-4b3b-9d55-073753cb9491,Wan'Dale,Robinson,181.5,77,WR77,WR,NY Giants,,,181.5
6023d58a-522f-42a7-b5d9-40ea2a73a282,Javonte,Williams,181.9,64,RB54,RB,Denver Broncos,,,181.9
9ffe1c41-911b-4de6-91d6-aa67d0938091,Zach,Ertz,183.2,66,TE23,TE,Washington Commanders,,,183.2
671b5fc8-35e6-40fc-a04e-fdae1079d532,Harold,Fannin Jr.,184.1,92,TE24,TE,,,,184.1
f053a8f8-de79-452f-a3f0-482469b15a5f,Adonai,Mitchell,186.5,83,WR78,WR,Indianapolis Colts,,,186.5
27747522-e1d5-47e2-9124-7c729cc1834e,Jayden,Higgins,186.7,91,WR79,WR,,,,186.7
f078bd42-7935-4e4f-883e-3618c7fd35f2,Roschon,Johnson,188.3,76,RB55,RB,Chicago Bears,,,188.3
98041462-972d-49b3-890f-f5de0ee41201,DeMario,Douglas,189,81,WR80,WR,New England Patriots,,,189
d154eada-4b6a-4d21-9d5f-a8ee85907b1e,Noah,Gray,189.2,86,TE25,TE,Kansas City Chiefs,,,189.2
